subset,filename,prediction
CasualConversationsH,1270_08.MP4,0.9666666666666667
CasualConversationsH,1270_13.MP4,1.0
CasualConversationsA,1858_02.MP4,0.5666666666666667
CasualConversationsA,1858_13.MP4,0.7333333333333333
CasualConversationsH,1485_00.MP4,1.0
CasualConversationsH,1485_01.MP4,0.8
CasualConversationsM,1002_07.MP4,1.0
CasualConversationsM,1002_14.MP4,0.8333333333333334
CasualConversationsM,1131_00.MP4,0.9310344827586207
CasualConversationsM,1131_09.MP4,0.9666666666666667
CasualConversationsM,0667_06.MP4,1.0
CasualConversationsM,0667_09.MP4,1.0
CasualConversationsM,0646_01.MP4,0.9642857142857143
CasualConversationsM,0646_04.MP4,1.0
CasualConversationsH,1245_01.MP4,1.0
CasualConversationsH,1245_03.MP4,0.9642857142857143
CasualConversationsA,1509_02.MP4,1.0
CasualConversationsA,1509_09.MP4,1.0
CasualConversationsH,1448_10.MP4,1.0
CasualConversationsH,1448_12.MP4,1.0
CasualConversationsM,0792_01.MP4,0.8620689655172413
CasualConversationsM,0792_05.MP4,1.0
CasualConversationsM,0579_01.MP4,1.0
CasualConversationsM,0579_05.MP4,1.0
CasualConversationsA,1670_02.MP4,0.9666666666666667
CasualConversationsA,1670_10.MP4,1.0
CasualConversationsA,1824_07.MP4,1.0
CasualConversationsA,1824_10.MP4,1.0
CasualConversationsA,1850_02.MP4,0.9
CasualConversationsA,1850_11.MP4,1.0
CasualConversationsH,1587_01.MP4,0.9666666666666667
CasualConversationsH,1587_07.MP4,1.0
CasualConversationsM,0903_10.MP4,1.0
CasualConversationsM,0903_12.MP4,1.0
CasualConversationsA,1725_02.MP4,0.75
CasualConversationsA,1725_09.MP4,1.0
CasualConversationsA,1329_00.MP4,0.7333333333333333
CasualConversationsA,1329_02.MP4,0.9
CasualConversationsA,1646_01.MP4,1.0
CasualConversationsA,1646_07.MP4,1.0
CasualConversationsA,1669_10.MP4,1.0
CasualConversationsA,1669_12.MP4,1.0
CasualConversationsM,0886_00.MP4,1.0
CasualConversationsM,0886_01.MP4,1.0
CasualConversationsM,1029_01.MP4,0.8666666666666667
CasualConversationsM,1029_02.MP4,0.26666666666666666
CasualConversationsH,1177_00.MP4,1.0
CasualConversationsH,1177_01.MP4,1.0
CasualConversationsA,1280_00.MP4,1.0
CasualConversationsA,1280_02.MP4,1.0
CasualConversationsA,1948_00.MP4,1.0
CasualConversationsA,1948_02.MP4,1.0
CasualConversationsH,1161_01.MP4,0.9
CasualConversationsH,1161_10.MP4,0.9
CasualConversationsA,1650_07.MP4,0.9333333333333333
CasualConversationsA,1650_09.MP4,1.0
CasualConversationsA,1941_04.MP4,0.9666666666666667
CasualConversationsA,1941_07.MP4,1.0
CasualConversationsM,0522_02.MP4,0.8333333333333334
CasualConversationsM,0522_07.MP4,1.0
