subset,filename,prediction
CasualConversationsM,0667_09.MP4,0.0
CasualConversationsH,1206_07.MP4,0.0
CasualConversationsH,1535_02.MP4,0.3333333333333333
CasualConversationsA,1412_08.MP4,0.1
CasualConversationsM,0525_08.MP4,0.3793103448275862
CasualConversationsA,1423_01.MP4,0.3333333333333333
CasualConversationsM,1107_08.MP4,0.5
CasualConversationsM,0628_09.MP4,0.26666666666666666
CasualConversationsM,1004_13.MP4,0.4666666666666667
CasualConversationsA,1687_13.MP4,0.13333333333333333
CasualConversationsA,1614_13.MP4,0.3
CasualConversationsA,1924_02.MP4,0.0
CasualConversationsM,1133_03.MP4,0.3333333333333333
CasualConversationsA,1537_08.MP4,0.16666666666666666
CasualConversationsM,0809_10.MP4,0.4666666666666667
CasualConversationsH,1167_02.MP4,0.4827586206896552
CasualConversationsM,0539_07.MP4,0.36666666666666664
CasualConversationsA,1973_13.MP4,0.26666666666666666
CasualConversationsH,1228_01.MP4,0.13333333333333333
CasualConversationsM,0803_02.MP4,0.4444444444444444
CasualConversationsA,1336_01.MP4,0.03333333333333333
CasualConversationsA,1336_02.MP4,0.23333333333333334
CasualConversationsA,1415_14.MP4,0.36666666666666664
CasualConversationsH,1488_03.MP4,0.4642857142857143
CasualConversationsA,1460_02.MP4,0.36666666666666664
CasualConversationsA,1460_14.MP4,0.0
CasualConversationsM,0999_13.MP4,0.3
CasualConversationsA,1295_01.MP4,0.03333333333333333
CasualConversationsA,1191_14.MP4,0.16666666666666666
CasualConversationsA,1407_01.MP4,0.5
CasualConversationsM,0541_07.MP4,0.2
CasualConversationsM,1118_13.MP4,0.0
CasualConversationsM,0814_09.MP4,0.0
CasualConversationsA,1688_14.MP4,0.4
CasualConversationsH,1472_02.MP4,0.0
CasualConversationsA,1582_14.MP4,0.0
CasualConversationsH,1317_04.MP4,0.5
CasualConversationsM,0781_10.MP4,0.0
CasualConversationsM,0788_10.MP4,0.0
CasualConversationsH,1584_03.MP4,0.5
CasualConversationsM,1130_01.MP4,0.2
CasualConversationsM,1138_02.MP4,0.4642857142857143
CasualConversationsH,1308_03.MP4,0.48148148148148145
CasualConversationsH,1222_14.MP4,0.5
CasualConversationsM,0546_02.MP4,0.1724137931034483
CasualConversationsA,1776_14.MP4,0.1
CasualConversationsA,1184_01.MP4,0.1
CasualConversationsA,1172_03.MP4,0.48148148148148145
CasualConversationsA,1171_14.MP4,0.13333333333333333
CasualConversationsM,0786_08.MP4,0.0
CasualConversationsM,0815_02.MP4,0.43333333333333335
CasualConversationsH,1183_04.MP4,0.4117647058823529
CasualConversationsH,1359_03.MP4,0.23333333333333334
CasualConversationsA,1150_02.MP4,0.0
CasualConversationsM,0554_07.MP4,0.43333333333333335
CasualConversationsA,1251_02.MP4,0.13333333333333333
CasualConversationsA,1251_08.MP4,0.10344827586206896
CasualConversationsH,1538_01.MP4,0.43333333333333335
CasualConversationsH,1454_02.MP4,0.2
CasualConversationsM,0797_07.MP4,0.26666666666666666
CasualConversationsM,0555_12.MP4,0.0
CasualConversationsA,1216_01.MP4,0.23333333333333334
CasualConversationsA,1364_02.MP4,0.36666666666666664
CasualConversationsA,1364_13.MP4,0.4
CasualConversationsM,0808_07.MP4,0.43333333333333335
CasualConversationsM,1129_14.MP4,0.26666666666666666
CasualConversationsH,1512_13.MP4,0.36666666666666664
CasualConversationsH,1150_01.MP4,0.0
CasualConversationsM,1124_02.MP4,0.4
CasualConversationsH,1264_01.MP4,0.43333333333333335
CasualConversationsH,1347_04.MP4,0.0
CasualConversationsA,1904_13.MP4,0.3333333333333333
CasualConversationsM,0747_07.MP4,0.0
CasualConversationsA,1402_03.MP4,0.5
CasualConversationsM,0829_07.MP4,0.0
CasualConversationsA,1589_01.MP4,0.4666666666666667
CasualConversationsA,1492_03.MP4,0.5
CasualConversationsA,1896_14.MP4,0.13333333333333333
CasualConversationsM,0571_07.MP4,0.36666666666666664
CasualConversationsH,1323_02.MP4,0.36666666666666664
CasualConversationsH,1323_03.MP4,0.4583333333333333
CasualConversationsA,1140_02.MP4,0.23333333333333334
CasualConversationsA,1406_01.MP4,0.5
CasualConversationsA,1703_01.MP4,0.43333333333333335
CasualConversationsA,1289_01.MP4,0.43333333333333335
CasualConversationsA,1289_02.MP4,0.5
CasualConversationsM,0592_10.MP4,0.5
CasualConversationsM,0913_08.MP4,0.16666666666666666
CasualConversationsM,0537_02.MP4,0.43333333333333335
CasualConversationsM,0633_09.MP4,0.4482758620689655
CasualConversationsA,1658_13.MP4,0.43333333333333335
CasualConversationsM,0604_08.MP4,0.0
CasualConversationsA,1479_04.MP4,0.3333333333333333
CasualConversationsH,1522_04.MP4,0.42857142857142855
CasualConversationsM,1080_14.MP4,0.26666666666666666
CasualConversationsM,0812_10.MP4,0.4666666666666667
CasualConversationsA,1240_02.MP4,0.36666666666666664
CasualConversationsA,1240_08.MP4,0.06666666666666667
CasualConversationsM,0572_08.MP4,0.0
CasualConversationsA,1502_02.MP4,0.43333333333333335
CasualConversationsM,0813_09.MP4,0.39285714285714285
CasualConversationsM,0567_08.MP4,0.43333333333333335
CasualConversationsM,0847_08.MP4,0.5
CasualConversationsA,1378_14.MP4,0.4666666666666667
CasualConversationsA,1246_02.MP4,0.5
CasualConversationsM,0767_07.MP4,0.43333333333333335
CasualConversationsH,1279_14.MP4,0.43333333333333335
CasualConversationsM,0721_07.MP4,0.26666666666666666
CasualConversationsM,1104_08.MP4,0.3076923076923077
CasualConversationsA,1244_13.MP4,0.2
CasualConversationsM,0637_07.MP4,0.13333333333333333
