subset,filename,prediction
CasualConversationsA,1144_02.MP4,0.5
CasualConversationsA,1146_02.MP4,0.6167
CasualConversationsA,1153_02.MP4,0.5
CasualConversationsA,1165_02.MP4,0.5156
CasualConversationsA,1168_01.MP4,0.5
CasualConversationsA,1178_02.MP4,0.8745
CasualConversationsA,1185_02.MP4,0.9243
CasualConversationsA,1188_02.MP4,0.717
CasualConversationsA,1200_02.MP4,0.955
CasualConversationsA,1201_02.MP4,0.871
CasualConversationsA,1261_08.MP4,0.8296
CasualConversationsA,1266_02.MP4,0.5293
CasualConversationsA,1271_02.MP4,0.5938
CasualConversationsA,1278_07.MP4,0.637
CasualConversationsA,1325_02.MP4,0.818
CasualConversationsA,1490_02.MP4,0.5674
CasualConversationsA,1661_02.MP4,0.5454
CasualConversationsA,1978_02.MP4,0.604
CasualConversationsH,1144_12.MP4,0.6807
CasualConversationsH,1158_01.MP4,0.5
CasualConversationsH,1167_02.MP4,0.8247
CasualConversationsH,1218_00.MP4,0.5
CasualConversationsH,1234_02.MP4,0.971
CasualConversationsH,1279_02.MP4,0.579
CasualConversationsH,1296_04.MP4,0.519
CasualConversationsH,1325_01.MP4,0.9663
CasualConversationsH,1325_12.MP4,0.79
CasualConversationsH,1328_02.MP4,0.632
CasualConversationsH,1354_02.MP4,0.7456
CasualConversationsH,1384_02.MP4,0.619
CasualConversationsH,1390_02.MP4,0.97
CasualConversationsH,1403_02.MP4,0.8633
CasualConversationsH,1408_02.MP4,0.873
CasualConversationsH,1461_02.MP4,0.5
CasualConversationsH,1463_02.MP4,0.5
CasualConversationsH,1539_02.MP4,0.5
CasualConversationsH,1548_02.MP4,0.9634
CasualConversationsH,1620_02.MP4,0.576
CasualConversationsM,0570_05.MP4,0.5044
CasualConversationsM,0615_01.MP4,0.5
CasualConversationsM,0711_10.MP4,0.847
CasualConversationsM,0816_07.MP4,0.793
CasualConversationsM,0961_02.MP4,0.5933
CasualConversationsM,1025_09.MP4,0.5
CasualConversationsM,1027_02.MP4,0.5073
CasualConversationsNO,0040_01.MP4,0.5
CasualConversationsNO,0161_04.MP4,0.5
CasualConversationsNO,0251_05.MP4,0.5986
CasualConversationsNO,0288_01.MP4,0.6978
CasualConversationsNO,0289_01.MP4,0.627
CasualConversationsNO,0297_06.MP4,0.9077
CasualConversationsNO,0297_11.MP4,0.9653
CasualConversationsNO,0414_01.MP4,0.731
CasualConversationsNO,0420_01.MP4,0.627
CasualConversationsNO,0455_04.MP4,0.694
CasualConversationsNO,0488_02.MP4,0.97
CasualConversationsNO,0504_02.MP4,0.633
CasualConversationsNO,0504_09.MP4,0.532
CasualConversationsR,0185_12.MP4,0.5586
CasualConversationsR,0344_01.MP4,0.543
CasualConversationsR,0357_06.MP4,0.5894
CasualConversationsR,0360_07.MP4,0.62
CasualConversationsR,0433_02.MP4,0.534
CasualConversationsR,0433_03.MP4,0.7256
CasualConversationsR,0464_03.MP4,0.8965
