subset,filename,prediction
CasualConversationsA,1140_00.MP4,0.014885
CasualConversationsA,1140_02.MP4,0.11786
CasualConversationsA,1141_00.MP4,0.00847
CasualConversationsA,1141_02.MP4,0.01018
CasualConversationsA,1142_02.MP4,0.02698
CasualConversationsA,1142_03.MP4,0.00961
CasualConversationsA,1143_02.MP4,0.03485
CasualConversationsA,1143_11.MP4,0.009995
CasualConversationsA,1144_02.MP4,0.5
CasualConversationsA,1144_08.MP4,0.0501708984375
CasualConversationsA,1145_02.MP4,0.1614
CasualConversationsA,1145_11.MP4,0.0164
CasualConversationsA,1146_02.MP4,0.6167
CasualConversationsA,1146_09.MP4,0.01032
CasualConversationsA,1147_02.MP4,0.10016
CasualConversationsA,1147_11.MP4,0.01045
CasualConversationsA,1148_01.MP4,0.01384
CasualConversationsA,1148_02.MP4,0.01358
CasualConversationsA,1149_02.MP4,0.01514
CasualConversationsA,1149_13.MP4,0.008675
CasualConversationsA,1150_02.MP4,0.012985
CasualConversationsA,1150_14.MP4,0.01164
CasualConversationsA,1151_01.MP4,0.08704
CasualConversationsA,1151_14.MP4,0.00839
CasualConversationsA,1152_02.MP4,0.01066
CasualConversationsA,1152_08.MP4,0.01214
CasualConversationsA,1153_02.MP4,0.5
CasualConversationsA,1153_11.MP4,0.01140594482421875
CasualConversationsA,1154_02.MP4,0.0135
CasualConversationsA,1154_13.MP4,0.01469
CasualConversationsA,1155_02.MP4,0.01701
CasualConversationsA,1155_03.MP4,0.01268
CasualConversationsA,1156_00.MP4,0.0125
CasualConversationsA,1156_02.MP4,0.008224
CasualConversationsA,1157_03.MP4,0.01209
CasualConversationsA,1157_07.MP4,0.1772
CasualConversationsA,1158_02.MP4,0.03226
CasualConversationsA,1158_11.MP4,0.00986
CasualConversationsA,1159_02.MP4,0.1781
CasualConversationsA,1159_11.MP4,0.01148
CasualConversationsA,1160_00.MP4,0.01069
CasualConversationsA,1160_02.MP4,0.01611
CasualConversationsA,1161_02.MP4,0.0697
CasualConversationsA,1161_09.MP4,0.01404
CasualConversationsA,1162_02.MP4,0.01243
CasualConversationsA,1162_08.MP4,0.01567
CasualConversationsA,1163_02.MP4,0.485
CasualConversationsA,1163_14.MP4,0.00752
CasualConversationsA,1164_02.MP4,0.2144
CasualConversationsA,1164_14.MP4,0.011986
CasualConversationsA,1165_02.MP4,0.5156
CasualConversationsA,1165_08.MP4,0.01947
CasualConversationsA,1166_02.MP4,0.02885
CasualConversationsA,1166_11.MP4,0.01098
CasualConversationsA,1167_01.MP4,0.011986
CasualConversationsA,1167_02.MP4,0.014114
CasualConversationsA,1168_01.MP4,0.5
CasualConversationsA,1168_08.MP4,0.00844573974609375
CasualConversationsA,1169_02.MP4,0.334
CasualConversationsA,1169_08.MP4,0.01022
CasualConversationsA,1170_02.MP4,0.02055
CasualConversationsA,1170_10.MP4,0.00955
CasualConversationsA,1171_02.MP4,0.0206
CasualConversationsA,1171_14.MP4,0.00894
CasualConversationsA,1172_02.MP4,0.2595
CasualConversationsA,1172_03.MP4,0.0159
CasualConversationsA,1173_00.MP4,0.0945
CasualConversationsA,1173_02.MP4,0.00792
CasualConversationsA,1174_02.MP4,0.01046
CasualConversationsA,1174_11.MP4,0.01164
CasualConversationsA,1175_02.MP4,0.0173
CasualConversationsA,1175_08.MP4,0.00823
CasualConversationsA,1176_02.MP4,0.02155
CasualConversationsA,1176_14.MP4,0.00849
CasualConversationsA,1177_07.MP4,0.01352
CasualConversationsA,1177_10.MP4,0.00957
CasualConversationsA,1178_02.MP4,0.8745
CasualConversationsA,1178_08.MP4,0.02089
CasualConversationsA,1179_01.MP4,0.01195
CasualConversationsA,1179_02.MP4,0.01376
CasualConversationsA,1180_02.MP4,0.01356
CasualConversationsA,1180_11.MP4,0.01707
CasualConversationsA,1181_06.MP4,0.008125
CasualConversationsA,1181_08.MP4,0.01375
CasualConversationsA,1182_02.MP4,0.01174
CasualConversationsA,1182_10.MP4,0.00993
CasualConversationsA,1183_02.MP4,0.01057
CasualConversationsA,1183_13.MP4,0.00773
CasualConversationsA,1184_01.MP4,0.008804
CasualConversationsA,1184_02.MP4,0.10516
CasualConversationsA,1185_01.MP4,0.0708
CasualConversationsA,1185_02.MP4,0.9243
CasualConversationsA,1186_02.MP4,0.1562
CasualConversationsA,1186_04.MP4,0.02298
CasualConversationsA,1187_02.MP4,0.3674
CasualConversationsA,1187_03.MP4,0.03482
CasualConversationsA,1188_02.MP4,0.717
CasualConversationsA,1188_11.MP4,0.00994
CasualConversationsA,1189_02.MP4,0.0093
CasualConversationsA,1189_08.MP4,0.012115
CasualConversationsA,1190_02.MP4,0.02571
CasualConversationsA,1190_08.MP4,0.014
CasualConversationsA,1191_02.MP4,0.009125
CasualConversationsA,1191_14.MP4,0.006744
CasualConversationsA,1192_00.MP4,0.01077
CasualConversationsA,1192_02.MP4,0.03415
CasualConversationsA,1193_00.MP4,0.02873
CasualConversationsA,1193_02.MP4,0.0644
CasualConversationsA,1194_07.MP4,0.0111
CasualConversationsA,1194_14.MP4,0.01129
CasualConversationsA,1195_00.MP4,0.00739
CasualConversationsA,1195_02.MP4,0.0705
CasualConversationsA,1196_02.MP4,0.08594
CasualConversationsA,1196_14.MP4,0.01029
CasualConversationsA,1197_02.MP4,0.03748
CasualConversationsA,1197_03.MP4,0.01185
CasualConversationsA,1198_02.MP4,0.01215
CasualConversationsA,1198_11.MP4,0.007996
CasualConversationsA,1199_02.MP4,0.03442
CasualConversationsA,1199_13.MP4,0.00943
CasualConversationsA,1200_02.MP4,0.955
CasualConversationsA,1200_04.MP4,0.01321
CasualConversationsA,1201_02.MP4,0.871
CasualConversationsA,1201_14.MP4,0.03857
CasualConversationsA,1202_00.MP4,0.01468
CasualConversationsA,1202_02.MP4,0.010544
CasualConversationsA,1203_00.MP4,0.01967
CasualConversationsA,1203_11.MP4,0.01072
CasualConversationsA,1204_02.MP4,0.01075
CasualConversationsA,1204_13.MP4,0.01222
CasualConversationsA,1205_00.MP4,0.01802
CasualConversationsA,1205_02.MP4,0.01563
CasualConversationsA,1206_00.MP4,0.01499
CasualConversationsA,1206_02.MP4,0.1421
CasualConversationsA,1207_02.MP4,0.00702
CasualConversationsA,1207_11.MP4,0.00783
CasualConversationsA,1208_00.MP4,0.010544
CasualConversationsA,1208_02.MP4,0.01576
CasualConversationsA,1209_00.MP4,0.01092
CasualConversationsA,1209_02.MP4,0.00909
CasualConversationsA,1210_02.MP4,0.008484
CasualConversationsA,1210_04.MP4,0.01784
CasualConversationsA,1211_00.MP4,0.008255
CasualConversationsA,1211_02.MP4,0.0068
CasualConversationsA,1212_02.MP4,0.02017
CasualConversationsA,1212_03.MP4,0.02226
CasualConversationsA,1213_01.MP4,0.01028
CasualConversationsA,1213_02.MP4,0.01264
CasualConversationsA,1214_07.MP4,0.01466
CasualConversationsA,1214_10.MP4,0.007248
CasualConversationsA,1215_02.MP4,0.01073
CasualConversationsA,1215_08.MP4,0.008644
CasualConversationsA,1216_01.MP4,0.00733
CasualConversationsA,1216_02.MP4,0.2443
CasualConversationsA,1217_02.MP4,0.00668
CasualConversationsA,1217_10.MP4,0.00944
CasualConversationsA,1218_00.MP4,0.02646
CasualConversationsA,1218_02.MP4,0.0796
CasualConversationsA,1219_02.MP4,0.007706
CasualConversationsA,1219_04.MP4,0.00838
CasualConversationsA,1220_02.MP4,0.0167
CasualConversationsA,1220_08.MP4,0.01042
CasualConversationsA,1221_07.MP4,0.01291
CasualConversationsA,1221_10.MP4,0.009094
CasualConversationsA,1222_02.MP4,0.00798
CasualConversationsA,1222_11.MP4,0.011055
CasualConversationsA,1223_02.MP4,0.00839
CasualConversationsA,1223_09.MP4,0.01334
CasualConversationsA,1224_02.MP4,0.008606
